favorite_count,id,retweet_count
16444,844580511645339650,3117
13638,844223788422217728,2187
15169,843981021012017153,2932
21443,843856843873095681,4600
16880,843604394117681152,2738
21517,843235543001513987,6006
15274,842846295480000512,3630
6735,842765311967449089,1280
18104,842535590457499648,3496
24478,842163532590374912,5784
13997,842115215311396866,3026
0,841833993020538882,15107
25759,841680585030541313,7792
12674,841439858740625411,3690
19824,841320156043304961,5494
15858,841314665196081154,4657
22935,841077006473256960,5309
0,840761248237133825,1769
0,840728873075638272,16162
176,840698636975636481,2
12323,840696689258311684,976
9034,840632337062862849,1769
16512,840370681858686976,4547
19336,840268004936019968,5750
13461,839990271299457024,2280
27590,839549326359670784,7775
0,839290600511926273,144
27239,839239871831150596,6552
19734,838952994649550848,4016
11207,838921590096166913,2071
0,838916489579200512,35
0,838831947270979586,11048
10986,838561493054533637,1340
22632,838476387338051585,4791
0,838201503651401729,10105
1682,838150277551247360,333
142,838085839343206401,1
17723,838083903487373313,3143
34345,837820167694528512,7901
3857,837482249356513284,444
12871,837471256429613056,2286
16149,837110210464448512,2370
12841,836989968035819520,2298
19429,836753516572119041,4663
12686,836677758902222849,2238
0,836648853927522308,556
0,836397794269200385,27684
14867,836380477523124226,3005
21455,836260088725786625,4325
19231,836001077879255040,4289
0,835685285446955009,8185
17933,835574547218894849,3643
0,835536468978302976,1714
0,835309094223372289,21125
16613,835297930240217089,3041
7801,835264098648616962,1714
2121,835246439529840640,73
26378,835172783151792128,5808
22604,835152434251116546,3042
10898,834931633769889797,1659
21517,834786237630337024,5544
13780,834574053763584002,2562
0,834477809192075265,10749
9704,834458053273591808,1699
20791,834209720923721728,4805
15959,834167344700198914,3690
10134,834089966724603904,2153
13186,834086379323871233,2225
13520,833863086058651648,2430
18188,833826103416520705,3803
0,833732339549220864,223
20984,833722901757046785,3256
14979,833479644947025920,2068
20380,833124694597443584,4889
13390,832998151111966721,2225
0,832769181346996225,39
17016,832757312314028032,3660
11998,832682457690300417,2947
2958,832645525019123713,535
16012,832636094638288896,2814
12073,832397543355072512,2240
17356,832369877331693569,3222
11459,832273440279240704,2362
0,832215909146226688,6267
0,832215726631055365,9449
64,832088576586297345,2
0,832040443403784192,9734
18068,832032802820481025,4714
24259,831939777352105988,6211
343,831926988323639298,34
27921,831911600680497154,6579
10565,831670449226514432,1845
7238,831650051525054464,1954
9078,831552930092285952,2333
9374,831322785565769729,1570
6626,831315979191906304,1136
11882,831309418084069378,2486
12043,831262627380748289,2070
8067,830956169170665475,1515
67661,830583320585068544,17004
0,830173239259324417,5764
9939,830097400375152640,2988
0,829878982036299777,5094
12375,829861396166877184,1976
32172,829501995190984704,10749
10588,829449946868879360,2058
24735,829141528400556032,7455
53779,829011960981237760,16514
0,828801551087042563,3461
25914,828770345708580865,5944
36989,828708714936930305,11342
9631,828650029636317184,1371
6429,828409743546925057,1181
7768,828408677031882754,1308
12754,828381636999917570,2247
7481,828376505180889089,1087
12723,828372645993398273,2986
2225,828361771580813312,173
11932,828046555563323392,2915
10491,828011680017821696,2173
20383,827933404142436356,5323
15706,827653905312006145,3060
7532,827600520311402496,956
16084,827324948884643840,3102
10728,827199976799354881,2261
21892,826958653328592898,5094
36898,826848821049180160,10333
0,826615380357632002,4044
5190,826598799820865537,257
10193,826598365270007810,2382
18674,826476773533745153,4268
13484,826240494070030336,2645
4945,826204788643753985,940
15884,826115272272650244,3186
10615,825876512159186944,1904
12912,825829644528148480,2524
57623,825535076884762624,17795
18595,825147591692263424,4608
0,825120256414846976,1285
6413,825026590719483904,1285
0,824796380199809024,5591
15164,824775126675836928,3585
10254,824663926340194305,1771
12006,824325613288833024,10695
15311,824297048279236611,3935
4898,824025158776213504,607
10791,823939628516474880,2753
0,823719002937630720,11408
14202,823699002998870016,2566
13239,823581115634085888,2675
711,823333489516937216,25
15988,823322678127919110,4104
0,823269594223824897,10081
17604,822975315408461824,3516
133973,822872901745569793,44133
13502,822859134160621569,2327
0,822647212903690241,6535
15068,822610361945911296,3014
18476,822489057087389700,6535
28591,822462944365645825,14627
35574,822244816520155136,10081
0,822163064745328640,4881
11520,821886076407029760,2356
0,821813639212650496,3420
8562,821765923262631936,1686
8174,821522889702862852,1802
0,821421320206483457,5715
11998,821407182352777218,4442
260,821153421864615936,10
8817,821149554670182400,2034
9764,821107785811234820,2181
12885,821044531881721856,2325
0,820837357901512704,6876
32138,820749716845686786,10105
12441,820690176645140481,3302
0,820494788566847489,573
0,820446719150292993,2620
3405,820314633777061888,573
20192,820078625395449857,6426
0,820013781606658049,1203
5422,819952236453363712,1203
13146,819924195358416896,4966
13659,819711362133872643,3176
9810,819588359383371776,2031
7369,819347104292290561,1231
2321,819238181065359361,414
23537,819227688460238848,6876
0,819015337530290176,37673
0,819015331746349057,19362
46160,819006400881917954,19362
88620,819004803107983360,37673
0,818646164899774465,21475
22841,818627210458333184,7694
10046,818614493328580609,2626
0,818588835076603904,6294
11123,818536468981415936,2517
0,818307523543449600,8287
11257,818259473185828864,2329
12549,818145370475810820,2629
4953,817908911860748288,823
52786,817827839487737858,27684
10960,817777686764523521,2751
12016,817536400337801217,3040
0,817502432452313088,3473
34647,817423860136083457,15107
5726,817415592588222464,972
0,817181837579653120,8667
8953,817171292965273600,2070
12460,817120970343411712,2663
8779,817056546584727552,1684
0,816829038950027264,4822
10234,816816676327063552,2084
10010,816697700272001025,2244
31165,816450570814898180,8287
8804,816336735214911488,1991
9123,816091915477250048,2193
0,816062466425819140,1051
0,816014286006976512,5401
5073,815990720817401858,1051
22897,815966073409433600,8667
0,815745968457060357,4239
10072,815736392542261248,2329
8406,815639385530101762,1683
10598,815390420867969024,3896
7819,814986499976527872,1312
11526,814638523311648768,2771
0,814578408554463233,5978
8847,814530161257443328,1909
29448,814153002265309185,8906
0,813944609378369540,3262
9502,813910438903693312,1918
37245,813812741911748608,14334
8523,813800681631023104,1810
19065,813217897535406080,7483
9444,813202720496779264,1853
20362,813187593374461952,4480
9494,813172488309972993,1978
7956,813157409116065792,2270
8670,813142292504645637,2439
4583,813130366689148928,458
12136,813127251579564032,3212
10553,813112105746448384,2814
10805,813096984823349248,3707
10119,813081950185472002,2845
8153,813066809284972545,2002
21473,813051746834595840,7556
7763,812781120811126785,1956
6770,812709060537683968,1466
6221,812503143955202048,1254
8161,812466873996607488,1989
14003,812372279581671427,3763
7435,811985624773361665,1440
7727,811744202451197953,1637
5749,811647686436880384,762
13084,811627233043480576,3161
21463,811386762094317568,6558
5470,810984652412424192,1470
9247,810896069567610880,1814
11245,810657578271330305,2725
36164,810284430598270976,11628
15075,810254108431155201,3461
15906,809920764300447744,4044
0,809808892968534016,5036
7118,809448704142938112,1503
20427,809220051211603969,5764
13578,809084759137812480,3621
10365,808838249661788160,3125
8116,808733504066486276,2229
11597,808501579447930884,2681
43693,808344865868283904,21475
0,808134635716833280,6103
9017,808106460588765185,2268
12875,808001312164028416,3631
14952,807621403335917568,3734
121456,807106840509214720,57118
0,807059379405148160,7557
13394,807010152071229440,3967
76746,806629075125202948,35728
0,806620845233815552,5690
5020,806576416489959424,2002
10489,806542213899489280,2425
0,806242860592926720,11978
6594,806219024703037440,1224
0,805958939288408065,5512
8503,805932879469572096,1972
6740,805826884734976000,1883
0,805823200554876929,8275
5897,805520635690676224,1710
9012,805487436403003392,2589
8022,805207613751304193,1764
14052,804738756058218496,3932
6298,804475857670639616,2070
0,804413760345620481,3326
45689,804026241225523202,16639
10323,803773340896923648,2827
0,803692223237865472,7638
11244,803638050916102144,4262
7977,803380650405482500,1920
0,803321560782307329,5480
10295,803276597545603072,2527
9263,802952499103731712,2069
0,802624713319034886,2990
7290,802600418706604034,1512
9172,802572683846291456,2583
16649,802323869084381190,6004
6942,802265048156610565,1415
9315,802239329049477120,2699
